mjd,rv,error
49475.46,25.1,1.0
49476.51,26.6,1.0
49477.49,29.2,1.0
49647.83,29.9,1.0
49648.75,34.6,1.0
49673.60,46.2,1.0
49673.60,49.1,1.0
49673.60,47.1,1.0
49676.72,46.0,1.0
49676.72,52.3,1.0
49769.45,40.0,1.0
49769.45,45.8,1.0
49769.45,44.8,1.0
49821.52,32.3,1.0
50087.77,59.2,1.0
50089.69,56.3,1.0
50589.46,53.4,1.0
51261.24,36.3,2.0
51261.28,36.2,2.0
51264.24,35.1,2.0
51266.25,38.3,2.0
51266.28,34.9,2.0
51475.58,30.1,2.0
51475.60,29.8,2.0
52209.49,28.0,2.0
52209.50,28.8,2.0
52209.56,28.8,2.0
52209.58,27.8,2.0
52210.50,22.8,2.0
52210.53,27.0,2.0
52335.22,45.1,2.0
52336.21,48.5,2.0
52338.33,44.0,2.0
52339.20,46.3,2.0
52339.23,50.3,2.0
52592.60,28.9,2.0
52593.56,32.7,2.0
52596.49,32.7,2.0
52596.53,32.6,2.0
52596.56,28.9,2.0
52596.58,33.4,2.0
52596.62,26.2,2.0
52612.53,48.7,2.0
52612.56,44.4,2.0
52612.59,48.7,2.0
52700.21,38.9,2.0
52700.23,42.8,2.0
52700.26,42.1,2.0
52700.29,48.7,2.0
52701.32,40.9,2.0
52701.35,46.9,2.0
52703.35,47.0,2.0
52703.37,44.5,2.0
52703.39,47.0,2.0
52944.55,21.5,2.0
52944.57,21.6,2.0
52944.61,21.4,2.0
52944.64,22.5,2.0
52974.44,32.2,2.0
52974.45,30.5,2.0
52996.47,59.0,2.0
52996.48,58.6,2.0
52996.50,59.1,2.0
52996.52,57.1,2.0
52996.53,60.7,2.0
52996.55,57.6,2.0
52996.56,58.9,2.0
52996.58,58.6,2.0
52996.59,56.0,2.0
52997.42,52.4,2.0
52997.44,55.0,2.0
52997.46,58.3,2.0
52997.47,57.0,2.0
52997.49,54.8,2.0
52997.57,62.7,2.0
52997.58,59.8,2.0
53002.50,65.4,2.0
53003.52,69.3,2.0
53032.41,52.8,2.0
53032.43,57.9,2.0
53058.29,47.2,2.0
53058.31,47.9,2.0
53058.34,48.5,2.0
53083.37,38.8,2.0
53303.53,19.7,2.0
53304.54,20.0,2.0
53305.54,19.2,2.0
53306.53,21.9,2.0
53384.38,67.3,2.0
53384.42,66.9,2.0
53434.34,42.3,2.0
53434.39,41.5,2.0
53457.25,37.6,2.0
53457.29,39.8,2.0
53459.24,39.3,2.0
53459.29,40.4,2.0
53459.33,38.2,2.0
53460.26,40.2,2.0
